Country;Currency;Technology;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Austria;National currency (nominal);Fossil fuels;..;..;..;0,476;0,74;1,6;0,201;1,155;3,271;1,384;1,874;2,346;0,385;0,634;0,738;0,49;0,153;0,796;1,089;1,292;0,831;0,781;1,671;1,695;0,59;0,649;0,445;0,633;0,411;0,461;0,451;0,226;0,925;0,878;2,71;0,496;0,911;1,111;1,283;5,072;0,617;4,43;1,507;2,359;0,6;1,491;1,651;0,784;1,445;..
Austria;National currency (nominal);Renewables;..;..;..;3,13;4,294;5,132;6,51;5,256;5,333;6,178;3,34;3,334;2,593;2,608;4,219;2,4;1,653;3,927;3,498;4,903;6,503;7,833;6,138;7,441;9,824;9,265;6,535;7,926;9,681;9,913;9,544;12,107;13,84;14,82;24,465;32,569;33,637;32,773;28,22;29,477;32,413;22,119;30,487;21,354;23,19;23,506;21,512;20,484;29,597;..
Austria;National currency (nominal);Nuclear;..;..;..;5,192;5,569;4,456;4,181;4,533;4,885;6,862;6,97;6,82;2,363;2,182;1,891;1,711;0,849;2,092;1,682;2,104;1,568;1,587;1,394;1,682;2,378;2,952;2,705;3,356;3,466;2,907;3,229;3,334;3,676;3,287;4,453;2,982;3,067;2,627;2,518;2,538;1,51;1,302;1,518;1,215;1,829;1,604;1,568;1,562;1,559;..
Austria;National currency (nominal);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;1,867;6,436;1,161;2,368;2,644;3,528;2,167;3,766;3,9;8,215;1,696;3,164;4,628;8,079;9,368;8,678;41,133;30,024;..
Austria;National currency (nominal);Other power and storage technologies;..;..;..;4,118;3,304;2,175;4,226;4,59;4,31;3,572;4,553;5;4,139;4,163;4,95;3,572;2,299;4,495;2,917;3,151;4,144;3,548;4,167;3,678;4,168;3,03;3,22;4,605;3,789;3,948;7,517;3,89;3,586;2,272;5,195;6,483;17,585;12,231;22,922;22,031;35,289;35,88;31,005;37,201;28,972;20,538;32,364;45,079;33,984;..
Austria;National currency (nominal);Other cross-cutting technologies/research;..;..;..;1,373;5,663;3,22;2,267;2,409;2,553;3,85;5,367;5,099;1,831;2,165;2,035;0,796;0,562;0,887;1,259;1,932;1,094;1,612;1,979;2,717;3,585;3;3,263;4,202;3,914;2,688;2,968;2,367;3,947;1,788;8,445;9,662;6,573;6,215;5,992;5,975;3,32;6,031;6,891;6,836;21,867;17,68;12,642;19,049;10,056;..
Austria;National currency (nominal);Unallocated;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
Austria;National currency (nominal);Total Budget;..;..;..;19,832;26,068;22,835;25,903;25,537;29,659;29,282;33,547;32,924;20,845;18,612;23,171;13,636;9,999;17,802;15,311;20,847;23,589;24,132;24,295;25,732;27,386;26,527;23,322;29,872;29,18;24,982;33,534;33,6;42,399;31,886;71,167;92,27;120,979;120,823;120,101;124,555;143,101;128,415;140,894;139,34;151,402;149,107;155,183;224,067;214,437;..
Austria;National currency (2022 prices);Energy efficiency;..;..;..;17,506;19,347;17,879;23,227;19,394;22,604;17,402;25,577;22,288;20,101;14,206;18,23;8,846;8,25;9,944;8,341;12,493;15,388;14,042;14,206;13,353;10,672;11,858;10,96;13,779;11,767;7,443;14,188;13,798;13,808;10,387;31,051;48,626;71,776;80,713;68,828;67,908;73,771;66,613;76,126;74,632;74,583;82,369;82,186;100,871;107,771;..
Austria;National currency (2022 prices);Fossil fuels;..;..;..;1,503;2,203;4,576;0,548;2,95;7,944;3,238;4,189;5,065;0,812;1,313;1,441;0,929;0,282;1,412;1,867;2,162;1,353;1,25;2,654;2,657;0,92;1,009;0,682;0,953;0,611;0,677;0,651;0,318;1,279;1,188;3,576;0,644;1,174;1,408;1,594;6,199;0,737;5,181;1,73;2,678;0,669;1,639;1,768;0,824;1,445;..
Austria;National currency (2022 prices);Renewables;..;..;..;9,885;12,785;14,678;17,749;13,423;12,952;14,456;7,466;7,198;5,467;5,4;8,237;4,55;3,041;6,964;5,997;8,205;10,59;12,539;9,747;11,665;15,325;14,401;10,013;11,937;14,385;14,565;13,782;17,03;19,131;20,045;32,283;42,306;43,363;41,526;35,06;36,027;38,731;25,869;34,994;24,24;25,867;25,843;23,03;21,529;29,597;..
Austria;National currency (2022 prices);Nuclear;..;..;..;16,397;16,581;12,745;11,399;11,576;11,864;16,056;15,58;14,724;4,982;4,518;3,692;3,244;1,562;3,71;2,884;3,521;2,553;2,54;2,214;2,637;3,71;4,588;4,145;5,055;5,15;4,271;4,663;4,69;5,081;4,446;5,876;3,874;3,954;3,329;3,128;3,102;1,804;1,523;1,742;1,379;2,04;1,763;1,679;1,642;1,559;..
Austria;National currency (2022 prices);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;2,626;8,897;1,57;3,125;3,434;4,548;2,746;4,679;4,767;9,816;1,984;3,632;5,253;9,012;10,299;9,291;43,231;30,024;..
Austria;National currency (2022 prices);Other power and storage technologies;..;..;..;13,005;9,837;6,221;11,522;11,722;10,468;8,358;10,178;10,794;8,726;8,62;9,664;6,772;4,23;7,971;5,001;5,273;6,748;5,679;6,617;5,766;6,502;4,71;4,934;6,936;5,63;5,801;10,855;5,472;4,957;3,073;6,855;8,421;22,669;15,498;28,478;26,927;42,167;41,963;35,589;42,228;32,316;22,58;34,648;47,378;33,984;..
Austria;National currency (2022 prices);Other cross-cutting technologies/research;..;..;..;4,336;16,861;9,21;6,181;6,152;6,2;9,009;11,997;11,008;3,86;4,483;3,973;1,509;1,034;1,573;2,159;3,233;1,782;2,58;3,143;4,259;5,592;4,663;4,999;6,329;5,816;3,949;4,286;3,33;5,456;2,418;11,144;12,551;8,473;7,875;7,444;7,303;3,967;7,053;7,91;7,76;24,391;19,438;13,534;20,021;10,056;..
Austria;National currency (2022 prices);Unallocated;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
Austria;National currency (2022 prices);Total Budget;..;..;..;62,633;77,615;65,312;70,624;65,217;72,032;68,516;74,989;71,079;43,948;38,538;45,236;25,85;18,397;31,57;26,25;34,888;38,415;38,629;38,581;40,339;42,721;41,231;35,733;44,991;43,359;36,705;48,424;47,264;58,608;43,127;93,909;119,857;155,958;153,094;149,212;152,232;170,993;150,185;161,724;158,171;168,878;163,933;166,136;235,495;214,437;..
Austria;USD (2022 prices and exchange rates);Energy efficiency;..;..;..;18,41;20,347;18,802;24,427;20,395;23,771;18,301;26,898;23,44;21,139;14,94;19,172;9,303;8,676;10,457;8,772;13,138;16,183;14,767;14,94;14,043;11,223;12,47;11,526;14,491;12,375;7,828;14,921;14,511;14,521;10,924;32,655;51,138;75,484;84,882;72,384;71,416;77,582;70,054;80,058;78,488;78,436;86,624;86,432;106,082;113,338;..
Austria;USD (2022 prices and exchange rates);Fossil fuels;..;..;..;1,581;2,317;4,813;0,576;3,102;8,355;3,406;4,405;5,326;0,854;1,381;1,515;0,977;0,296;1,485;1,964;2,274;1,423;1,315;2,791;2,794;0,968;1,061;0,717;1,003;0,642;0,712;0,685;0,334;1,345;1,249;3,761;0,678;1,235;1,48;1,676;6,519;0,775;5,449;1,819;2,816;0,704;1,724;1,859;0,867;1,52;..
